CELL_TYPE,SHAPE,MAX_SHEAR,WSR_ID,MXDV,CELL_ID,ZTIME,AZIMUTH,RANGE
TVS,POINT (-99.6059843719037 41.5159510244139),19,KLNX,60,O6,2024-07-30T13:56:56Z,121,51
TVS,POINT (-99.6148605346335 41.5371512279201),23,KLNX,73,O6,2024-07-30T14:02:21Z,120,50
TVS,POINT (-88.9606017697083 39.7018070522011),31,KILX,61,S5,2024-07-30T14:49:56Z,147,32
TVS,POINT (-88.9865355743571 39.7485110669554),49,KILX,89,S5,2024-07-30T14:49:56Z,146,29
TVS,POINT (-87.8359991786633 38.9718983028678),24,KVWX,66,N7,2024-07-30T14:59:09Z,353,43
TVS,POINT (-86.471787915675 37.6944310343247),32,KSDF,92,H0,2024-07-30T17:14:30Z,243,46
TVS,POINT (-94.117518619173 42.0931003191515),37,KDMX,66,J4,2024-07-30T17:22:43Z,321,28
TVS,POINT (-92.5875481242311 41.7402328438074),27,KDMX,88,Q4,2024-07-30T17:43:41Z,89,51
TVS,POINT (-86.8069758896245 37.3237880152047),22,KHPX,57,N3,2024-07-30T18:08:35Z,33,42
TVS,POINT (-86.0963267489767 37.2848121244208),28,KLVX,72,Q7,2024-07-30T18:16:02Z,190,42
TVS,POINT (-86.0109512532782 37.2093704456188),26,KLVX,70,Q7,2024-07-30T18:26:35Z,184,46
TVS,POINT (-84.0707566795766 36.4654800668284),26,KMRX,60,B6,2024-07-30T18:32:16Z,299,37
TVS,POINT (-85.5084176125132 37.2660939126219),23,KSDF,68,B6,2024-07-30T18:35:19Z,174,47
TVS,POINT (-85.3048017837412 37.3357212740311),28,KSDF,80,P7,2024-07-30T18:44:29Z,161,45
TVS,POINT (-85.2887592573768 37.3757970261058),33,KSDF,87,R7,2024-07-30T18:44:29Z,159,43
TVS,POINT (-85.2712967786425 37.4906859060095),40,KSDF,92,A6,2024-07-30T18:44:29Z,154,37
TVS,POINT (-85.3632156738765 37.3561182066979),31,KSDF,84,P7,2024-07-30T18:47:19Z,164,43
TVS,POINT (-85.2913289573054 37.3041311199021),39,KSDF,115,B6,2024-07-30T18:53:19Z,161,47
TVS,POINT (-86.4514590501226 36.9757057379516),21,KOHX,57,E3,2024-07-30T19:01:33Z,7,44
TVS,POINT (-86.4647822295175 36.8087998924494),31,KOHX,67,O1,2024-07-30T19:17:21Z,8,34
TVS,POINT (-86.6012917453375 36.6791651163672),47,KBNA,128,B0,2024-07-30T19:37:53Z,4,42
TVS,POINT (-86.6938329839923 36.7138114875087),35,KBNA,94,I0,2024-07-30T19:37:53Z,358,44
TVS,POINT (-86.562284740992 36.743392140899),34,KBNA,93,B0,2024-07-30T19:37:53Z,6,46
TVS,POINT (-86.6790152175841 36.7642054033392),32,KBNA,93,I0,2024-07-30T19:40:43Z,359,47
TVS,POINT (-90.5573254339348 39.3926791888089),21,KLSX,55,D2,2024-07-30T20:06:40Z,8,42
TVS,POINT (-89.1834930341097 39.9680754664229),101,KILX,82,B0,2024-07-30T20:14:01Z,147,13
TVS,POINT (-85.5212435357081 36.1387397540882),15,KOHX,49,K6,2024-07-30T20:21:46Z,97,51
TVS,POINT (-89.0861687207863 39.6168866085656),35,KILX,75,X2,2024-07-30T20:35:21Z,160,34
TVS,POINT (-88.7157329749813 39.6849195091854),28,KILX,69,B0,2024-07-30T21:01:46Z,134,40
TVS,POINT (-91.8114447959376 38.6935575184642),23,KLSX,78,S8,2024-07-30T21:04:29Z,270,53
TVS,POINT (-90.1809007547714 29.4880871273147),40,KMSY,85,L0,2024-07-30T21:06:52Z,160,34
TVS,POINT (-90.1492415615478 29.4989285880668),42,KMSY,93,L0,2024-07-30T21:30:51Z,157,34
TVS,POINT (-86.2113119022711 35.7758151990131),19,KHTX,59,R5,2024-07-30T21:45:34Z,353,51
TVS,POINT (-90.0957536751068 29.3556078441754),31,KMSY,83,E1,2024-07-30T22:21:41Z,158,43
TVS,POINT (-90.069368681934 29.3653411188437),28,KMSY,75,E1,2024-07-30T22:33:41Z,156,43
TVS,POINT (-101.882187953986 47.2069480445341),19,KBIS,62,V1,2024-07-30T22:51:44Z,300,53
TVS,POINT (-90.0710375962865 29.9387026194458),71,KMSY,87,D2,2024-07-30T23:09:40Z,106,18
TVS,POINT (-78.2309347069723 36.6514432868712),31,KRDU,87,O1,2024-07-30T23:15:27Z,30,45
